cell_id,x_original,y_original,x_cropped,y_cropped,x_standardized,y_standardized
229,7882.721269871607,19419.00680225349,2401.7212698716066,13199.00680225349,1020.7315396954328,5609.577890957733
230,7895.59370588363,19375.928732188633,2414.59370588363,13155.928732188633,1026.2023250005427,5591.269711180169
231,7858.3585757716055,19432.311887514443,2377.3585757716055,13212.311887514443,1010.3773947029323,5615.232552193638
232,7924.419109315102,19407.348263139942,2443.419109315102,13187.348263139942,1038.4531214589183,5604.623011834476
233,7890.756578742088,19441.799708231723,2409.756578742088,13221.799708231723,1024.1465459653873,5619.264875998482
234,7967.85271546716,19425.81221496158,2486.85271546716,13205.812214961581,1056.912404073543,5612.470191358671
235,7943.261621733465,19374.49416398468,2462.2616217334653,13154.49416398468,1046.4611892367227,5590.660019693489
236,7974.269576432744,19379.89674631314,2493.2695764327436,13159.896746313141,1059.639569983916,5592.956117183085
237,8008.524663420008,19432.234175269627,2527.5246634200084,13212.234175269627,1074.1979819535036,5615.199524489592
238,7937.757352979964,19387.63481737273,2456.757352979964,13167.634817372731,1044.1218750164846,5596.2447973834105
239,7992.451045068663,19465.347404741897,2511.451045068663,13245.347404741897,1067.3666941541817,5629.272647015306
240,8193.075069235703,19432.28780787911,2712.0750692357033,13212.287807879111,1152.6319044251738,5615.222318348622
241,8173.703648136607,19395.922475759726,2692.7036481366067,13175.922475759726,1144.399050458058,5599.7670521978835
242,8090.264149651737,19430.338215890766,2609.264149651737,13210.338215890766,1108.9372636019882,5614.393741753575
243,8044.875013499958,19457.685018875127,2563.875013499958,13237.685018875127,1089.6468807374822,5626.016133021929
244,8139.0160522057395,19406.68337918001,2658.0160522057395,13186.683379180009,1129.6568221874393,5604.340436151504
245,8030.120881410554,19412.14710826207,2549.120881410554,13192.14710826207,1083.3763745994854,5606.66252101138
246,8212.365244857418,19391.649056513008,2731.3652448574176,13171.649056513008,1160.8302290644024,5597.950849018028
247,8126.374028906868,19431.792407524175,2645.3740289068683,13211.792407524175,1124.283962285419,5615.011773197774
248,8057.946265284247,19394.69631955384,2576.9462652842467,13174.696319553841,1095.2021627458048,5599.245935810382
249,7468.196392240286,19382.8789929623,1987.1963922402856,13162.878992962302,844.5584667021213,5594.223572008978
250,6002.771221712602,20486.48826173594,521.7712217126018,14266.48826173594,221.75276922785577,6063.257511237774
251,6034.294558778715,20481.91859551242,553.2945587787153,14261.91859551242,235.150187480954,6061.315403092778
252,6060.228344217173,20477.04312156995,579.2283442171729,14257.04312156995,246.17204629229846,6059.243326667229
253,5996.670907317787,20449.330221634667,515.6709073177872,14229.330221634667,219.16013561005954,6047.465344194734
254,6027.359890098709,20440.00555158712,546.359890098709,14220.00555158712,232.20295329195133,6043.502359424526
255,6046.055392204282,20426.813132649913,565.0553922042818,14206.813132649913,240.14854168681975,6037.895581376213
256,6020.427076410285,20395.37596386409,539.4270764102848,14175.375963864091,229.25650747437103,6024.534784642238
257,5989.316169140734,20399.15698114669,508.316169140734,14179.15698114669,216.03437188481195,6026.141716987343
258,6034.708563886476,20360.277354455313,553.7085638864764,14140.277354455313,235.32613965175247,6009.617875643507
259,5996.896619806037,20328.301372404316,515.896619806037,14108.301372404316,219.25606341756574,5996.0280832718345
